,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,G,GS,MP,OBPM,ORB,ORB%,OWS,PER,PF,PTS,Player,Pos,Rk,STL,STL%,TOV,TOV%,TRB,TRB%,TS%,Tm,USG%,VORP,WS,WS/48,eFG%
0,2.9,.415,7.0,0.3,0.29,1.2,0.145,1.5,8.9,22,0.5,2.1,-3.8,-1.0,5.3,24.3,0.7,3.3,0.397,8.2,1.1,0.571,1.9,0.229,26,17,24.7,-2.8,2.3,9.6,-0.2,11.2,2.2,8.0,Precious Achiuwa,C,1.0,0.5,1.1,1.2,11.3,7.6,16.6,0.439,TOR,17.7,-0.3,0.5,.039,0.418
1,2.6,.530,5.0,0.0,0.0,0.0,0.0,3.0,15.1,28,0.6,2.1,1.0,0.1,5.1,21.6,1.2,2.6,0.53,5.0,1.7,0.6,2.9,0.581,40,40,25.7,0.9,4.3,17.4,2.0,17.4,1.7,7.0,Steven Adams,C,2.0,0.8,1.6,1.6,20.5,9.4,19.5,0.561,MEM,12.7,0.8,3.2,.150,0.53
2,7.0,.521,13.4,0.0,0.0,0.1,0.004,3.2,16.0,24,0.3,1.1,1.9,1.0,7.4,25.3,0.9,7.0,0.519,13.5,4.7,0.759,6.2,0.461,18,18,32.9,0.8,2.7,9.2,0.9,19.5,3.3,18.7,Bam Adebayo,C,3.0,1.1,1.7,2.9,15.3,10.2,17.3,0.577,MIA,25.8,0.6,1.8,.147,0.519
3,1.3,.543,2.3,0.2,0.121,1.7,0.418,0.7,8.1,21,0.3,2.1,-6.7,-2.4,1.9,18.6,0.2,1.5,0.367,4.0,0.5,0.588,0.9,0.215,20,0,10.9,-4.3,1.1,10.1,0.0,9.5,1.1,3.6,Santi Aldama,PF,4.0,0.1,0.4,0.4,7.5,2.9,14.2,0.416,MEM,18.0,-0.3,0.1,.032,0.392
4,5.4,.596,9.1,0.4,0.343,1.3,0.121,0.8,5.9,36,1.1,4.2,1.4,-0.4,4.3,18.5,0.9,5.9,0.566,10.4,1.6,0.846,1.9,0.179,28,10,23.4,1.8,1.5,7.3,1.4,20.7,1.7,13.7,LaMarcus Aldridge,C,5.0,0.4,0.8,0.9,7.4,5.8,13.1,0.614,BRK,22.4,0.6,2.3,.167,0.586
5,2.9,.422,6.9,2.1,0.311,6.8,0.495,2.6,15.2,23,0.3,1.0,-3.4,-1.9,2.7,11.0,0.5,5.0,0.367,13.7,1.2,0.717,1.7,0.122,36,18,27.4,-1.5,0.9,3.4,-0.8,10.6,1.8,13.4,Nickeil Alexander-Walker,SG,6.0,0.9,1.7,1.6,10.0,3.6,7.1,0.463,NOP,25.0,-0.3,-0.3,-0.014,0.444
6,1.4,.476,2.9,2.7,0.389,7.0,0.71,1.3,6.7,26,0.4,1.4,0.0,-0.4,2.9,10.7,0.9,4.1,0.414,9.9,1.0,0.854,1.1,0.115,36,35,28.4,0.4,0.4,1.7,1.4,12.6,1.4,11.9,Grayson Allen,SG,7.0,0.8,1.3,0.6,5.8,3.4,6.2,0.572,MIL,16.6,0.5,2.3,.107,0.552
7,7.0,.715,9.7,0.0,0.143,0.2,0.023,1.9,9.4,23,1.5,4.0,5.2,1.9,7.5,23.8,2.0,7.0,0.702,10.0,3.1,0.706,4.4,0.44,31,31,32.8,3.3,3.3,11.2,3.5,24.5,1.8,17.1,Jarrett Allen,C,8.0,0.9,1.4,1.9,13.6,10.7,17.7,0.72,CLE,18.3,1.9,5.5,.258,0.704
8,0.3,.250,1.0,0.2,0.182,0.9,0.478,0.9,19.8,23,0.0,0.0,-4.6,1.1,0.4,7.3,0.1,0.4,0.217,1.9,0.6,0.636,0.9,0.478,12,0,6.3,-5.7,0.2,2.8,-0.1,7.5,0.7,1.6,Jose Alvarado,PG,9.0,0.5,3.9,0.2,6.7,0.6,5.0,0.341,NOP,16.8,0.0,0.0,-0.006,0.261
12,2.4,.462,5.2,0.7,0.353,2.1,0.282,2.5,15.4,28,0.5,2.3,0.2,1.1,4.4,21.6,1.0,3.2,0.432,7.3,1.1,0.66,1.6,0.22,33,5,22.4,-0.9,0.8,3.9,0.5,14.1,1.5,8.1,Kyle Anderson,PF,11.0,1.0,2.2,1.0,11.4,5.3,12.6,0.505,MEM,16.9,0.4,1.6,.102,0.481
13,8.9,.606,14.6,1.0,0.271,3.8,0.206,5.9,33.8,27,1.5,4.6,10.2,3.4,9.6,30.6,1.9,9.9,0.537,18.5,7.1,0.69,10.3,0.558,31,31,32.5,6.8,1.9,6.4,3.9,31.3,3.2,27.9,Giannis Antetokounmpo,PF,12.0,1.1,1.6,3.3,12.4,11.5,18.7,0.608,MIL,34.6,3.1,5.8,.277,0.565
14,1.4,.522,2.7,0.0,0.111,0.4,0.118,0.8,8.2,29,0.2,1.6,-4.0,0.6,1.9,15.4,0.4,1.4,0.474,3.0,0.5,0.591,0.9,0.289,25,5,12.6,-4.6,1.1,9.1,0.1,9.9,1.9,3.4,Thanasis Antetokounmpo,SF,13.0,0.5,1.8,0.7,16.6,3.0,12.3,0.502,MIL,13.9,-0.2,0.5,.073,0.48
15,2.2,.480,4.5,2.4,0.39,6.1,0.571,1.0,5.3,37,0.8,2.7,-0.3,-0.7,3.3,12.5,1.0,4.5,0.429,10.6,1.8,0.798,2.3,0.215,39,3,27.1,0.4,0.8,3.4,1.3,14.3,2.4,13.3,Carmelo Anthony,PF,14.0,0.7,1.3,0.8,6.6,4.2,8.1,0.572,LAL,19.6,0.4,2.4,.107,0.54
16,4.3,.471,9.1,2.7,0.354,7.6,0.454,5.9,30.4,21,0.2,0.5,1.2,-0.8,5.5,17.3,0.5,7.0,0.418,16.6,3.6,0.865,4.2,0.25,25,25,33.9,2.0,0.5,1.6,0.8,17.1,2.5,20.2,Cole Anthony,PG,15.0,0.8,1.2,2.8,13.3,6.0,9.5,0.547,ORL,27.2,0.7,1.3,.074,0.499
17,4.5,.489,9.1,2.6,0.359,7.1,0.438,2.5,10.6,24,0.5,1.2,1.0,-0.4,3.9,12.2,0.7,7.0,0.432,16.2,2.7,0.831,3.3,0.201,20,20,36.0,1.4,1.4,4.0,1.1,16.5,2.9,19.3,OG Anunoby,SF,16.0,1.7,2.3,1.6,8.1,5.3,7.9,0.546,TOR,22.7,0.5,1.7,.115,0.511
19,0.5,.429,1.2,1.1,0.405,2.8,0.706,2.3,22.3,34,0.0,0.0,-3.9,-3.2,0.9,6.8,-0.1,1.6,0.412,4.0,1.0,0.882,1.1,0.286,30,2,15.0,-0.8,0.2,1.2,0.4,10.8,0.5,5.4,D.J. Augustin,PG,18.0,0.3,1.1,1.3,22.5,1.1,4.0,0.605,HOU,16.4,-0.2,0.3,.033,0.555
20,1.8,.535,3.3,0.9,0.3,2.9,0.464,1.6,9.4,21,0.7,2.6,-1.0,1.0,4.3,19.7,1.0,2.7,0.426,6.2,1.1,0.717,1.6,0.253,38,5,23.5,-2.0,0.8,3.6,0.4,11.7,2.3,7.3,Deni Avdija,SF,19.0,0.8,1.7,0.9,11.4,5.1,11.8,0.528,WAS,14.8,0.2,1.4,.073,0.496
23,7.5,.638,11.8,0.0,0.143,0.3,0.024,1.6,8.2,23,0.8,2.4,3.4,1.0,8.2,27.3,1.5,7.5,0.626,12.0,1.9,0.662,2.8,0.235,24,24,30.7,2.4,2.9,10.2,1.8,22.2,2.2,17.0,Deandre Ayton,C,21.0,0.8,1.2,1.8,11.6,11.1,19.0,0.64,PHO,21.0,1.0,3.2,.211,0.628
25,2.6,.515,5.0,0.6,0.234,2.4,0.322,0.7,5.0,22,0.2,0.8,-3.3,-2.5,4.8,24.6,0.3,3.1,0.425,7.3,1.2,0.706,1.7,0.233,20,7,20.6,-0.8,2.3,12.0,0.3,13.6,1.7,8.0,Marvin Bagley III,PF,23.0,0.3,0.7,0.7,7.5,7.1,18.3,0.494,SAC,18.1,-0.2,0.6,.072,0.462
26,4.2,.455,9.3,2.8,0.384,7.2,0.435,7.8,36.6,20,0.5,1.4,4.0,0.3,5.8,19.7,0.8,7.0,0.424,16.5,2.6,0.876,2.9,0.178,33,33,31.9,3.7,1.6,5.1,1.9,20.9,3.1,19.3,LaMelo Ball,PG,24.0,1.7,2.6,3.1,14.7,7.3,12.2,0.543,CHO,27.7,1.6,2.7,.122,0.507
27,1.6,.414,3.9,3.0,0.41,7.4,0.657,5.1,19.7,24,1.0,2.4,2.2,1.6,4.5,13.9,1.5,4.6,0.411,11.3,0.6,0.773,0.7,0.065,30,30,35.4,0.6,1.0,3.0,0.6,14.0,2.4,12.9,Lonzo Ball,PG,25.0,1.8,2.5,2.4,17.4,5.5,8.5,0.555,CHI,17.4,1.1,2.1,.095,0.546
28,2.8,.549,5.1,1.3,0.342,3.9,0.433,1.6,8.9,23,2.1,6.8,0.7,1.3,6.3,23.9,1.1,4.1,0.459,9.0,0.6,0.731,0.9,0.096,30,30,28.1,-0.6,2.2,8.3,0.6,15.9,2.5,10.2,Mo Bamba,C,26.0,0.8,1.4,1.3,12.4,8.5,16.1,0.545,ORL,16.5,0.6,1.6,.094,0.533
29,3.8,.512,7.4,2.9,0.416,6.9,0.484,2.3,12.0,23,0.5,1.5,1.8,-0.4,3.9,14.4,1.1,6.6,0.466,14.3,1.2,0.906,1.4,0.095,39,39,30.0,2.2,0.5,1.7,2.1,16.8,2.5,17.4,Desmond Bane,SF,27.0,1.0,1.6,1.4,8.8,4.4,7.9,0.585,MEM,22.7,1.1,3.2,.132,0.567
30,1.3,.461,2.9,0.2,0.28,0.8,0.219,1.8,20.5,22,0.2,1.3,-3.6,-0.6,1.5,14.0,0.3,1.5,0.421,3.7,0.6,0.75,0.8,0.211,31,1,12.2,-3.0,0.6,5.2,-0.1,10.2,1.3,3.9,Dalano Banton,SF,28.0,0.4,1.6,1.1,20.9,2.1,9.4,0.486,TOR,17.8,-0.2,0.2,.023,0.452
32,3.0,.469,6.4,2.1,0.42,5.0,0.437,2.3,10.3,29,0.2,0.5,0.9,-1.1,4.9,15.6,0.5,5.1,0.447,11.4,4.2,0.831,5.1,0.445,35,35,33.5,2.0,1.2,3.7,2.2,15.8,1.3,16.5,Harrison Barnes,PF,30.0,0.7,1.1,1.8,11.7,6.1,9.7,0.605,SAC,19.6,0.9,2.7,.109,0.539
